company,company_explore_url,problem_name,problem_url,difficulty,page
Accenture,https://www.geeksforgeeks.org/explore?page=1&company=Accenture&sortBy=submissions&itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=practice_header/,Binary Search,https://www.geeksforgeeks.org/problems/binary-search-1587115620/1,Easy,1
Accenture,https://www.geeksforgeeks.org/explore?page=1&company=Accenture&sortBy=submissions&itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=practice_header/,Bubble Sort,https://www.geeksforgeeks.org/problems/bubble-sort/1,Easy,1
Accenture,https://www.geeksforgeeks.org/explore?page=1&company=Accenture&sortBy=submissions&itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=practice_header/,Distance of nearest cell having 1,https://www.geeksforgeeks.org/problems/distance-of-nearest-cell-having-1-1587115620/1,Medium,1
Accenture,https://www.geeksforgeeks.org/explore?page=1&company=Accenture&sortBy=submissions&itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=practice_header/,Find nth root of m,https://www.geeksforgeeks.org/problems/find-nth-root-of-m5843/1,Medium,1
Accenture,https://www.geeksforgeeks.org/explore?page=1&company=Accenture&sortBy=submissions&itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=practice_header/,First n Fibonacci,https://www.geeksforgeeks.org/problems/print-first-n-fibonacci-numbers1002/1,Basic,1
Accenture,https://www.geeksforgeeks.org/explore?page=1&company=Accenture&sortBy=submissions&itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=practice_header/,GCD of two numbers,https://www.geeksforgeeks.org/problems/gcd-of-two-numbers3459/1,Basic,1
Accenture,https://www.geeksforgeeks.org/explore?page=1&company=Accenture&sortBy=submissions&itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=practice_header/,Insertion Sort,https://www.geeksforgeeks.org/problems/insertion-sort/1,Easy,1
Accenture,https://www.geeksforgeeks.org/explore?page=1&company=Accenture&sortBy=submissions&itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=practice_header/,Majority Element - More Than n/3,https://www.geeksforgeeks.org/problems/majority-vote/1,Medium,1
Accenture,https://www.geeksforgeeks.org/explore?page=1&company=Accenture&sortBy=submissions&itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=practice_header/,Max Consecutive Bit,https://www.geeksforgeeks.org/problems/max-consecutive-one/1,Easy,1
Accenture,https://www.geeksforgeeks.org/explore?page=1&company=Accenture&sortBy=submissions&itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=practice_header/,Stock Buy and Sell – Max one Transaction Allowed,https://www.geeksforgeeks.org/problems/buy-stock-2/1,Easy,1
